"country","lat","diagnosis","study_no","url","pubMedId","registry_ID","site_name","enrolment","pub_year","drugs","pub_title","region","lon","status","authors","other_drugs","t_design","multiRegional","diagnosticMethod","hiv_co_infection","disease","otherCountries"
India (IND),26.131728,Spleen,"154",http://www.ncbi.nlm.nih.gov/pubmed/7883661,7883660,-9,"Darbhanga Medical College, Darbhanga, Bihar-846003, India",100,1994,Amphotericin B deoxycholate,Experience with amphotericin B in sodium stibogluconate--unresponsive cases of visceral Leishmaniasis in north Bihar.,India Subcontinent,85.896955,Published,"Giri OP, Singh AN.",Amphotericin B,Single Group,0,Parasitological,Unspecified,vl,
Sudan (SDN),13.511629,Spleen/bone/lymph,"195",https://www.ncbi.nlm.nih.gov/pubmed/27627657,27627657,NCT010667446,"El Hassan Centre for Tropical Medicine, Doka,Sudan",183,2016,Sodium stibogluconate,Efficacy and Safety of AmBisome in Combination with Sodium Stibogluconate or Miltefosine and Miltefosine Monotherapy for African Visceral Leishmaniasis: Phase II Randomized Trial,Eastern Africa,35.740262,Published,"Monique Wasunna, Simon Njenga, Manica Balasegaram, Neal Alexander, Raymond Omollo, Tansy Edwards, Thomas P. C. Dorlo, Brima Musa, Mohammed Hassan Sharaf Ali, Mohammed Yasein Elamin, George Kirigi, Rashid Juma, Anke E. Kip, Gerard J. Schoone, Asrat Hailu, Joseph Olobo, Sally Ellis, Robert Kimutai, Susan Wells, Eltahir Awad Gasim Khalil, Nathalie Strub Wourgaft, Fabiana Alves, Ahmed Musa",Miltefosine; Sodium stibogluconate; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,Kenya
Sudan (SDN),13.511629,Spleen/bone/lymph,"195",https://www.ncbi.nlm.nih.gov/pubmed/27627657,27627657,NCT010667446,"El Hassan Centre for Tropical Medicine, Doka,Sudan",183,2016,Miltefosine,Efficacy and Safety of AmBisome in Combination with Sodium Stibogluconate or Miltefosine and Miltefosine Monotherapy for African Visceral Leishmaniasis: Phase II Randomized Trial,Eastern Africa,35.740262,Published,"Monique Wasunna, Simon Njenga, Manica Balasegaram, Neal Alexander, Raymond Omollo, Tansy Edwards, Thomas P. C. Dorlo, Brima Musa, Mohammed Hassan Sharaf Ali, Mohammed Yasein Elamin, George Kirigi, Rashid Juma, Anke E. Kip, Gerard J. Schoone, Asrat Hailu, Joseph Olobo, Sally Ellis, Robert Kimutai, Susan Wells, Eltahir Awad Gasim Khalil, Nathalie Strub Wourgaft, Fabiana Alves, Ahmed Musa",Miltefosine; Sodium stibogluconate; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,Kenya
Sudan (SDN),13.511629,Spleen/bone/lymph,"195",https://www.ncbi.nlm.nih.gov/pubmed/27627657,27627657,NCT010667446,"El Hassan Centre for Tropical Medicine, Doka,Sudan",183,2016,Liposomal Amphotericin B (L-AmB),Efficacy and Safety of AmBisome in Combination with Sodium Stibogluconate or Miltefosine and Miltefosine Monotherapy for African Visceral Leishmaniasis: Phase II Randomized Trial,Eastern Africa,35.740262,Published,"Monique Wasunna, Simon Njenga, Manica Balasegaram, Neal Alexander, Raymond Omollo, Tansy Edwards, Thomas P. C. Dorlo, Brima Musa, Mohammed Hassan Sharaf Ali, Mohammed Yasein Elamin, George Kirigi, Rashid Juma, Anke E. Kip, Gerard J. Schoone, Asrat Hailu, Joseph Olobo, Sally Ellis, Robert Kimutai, Susan Wells, Eltahir Awad Gasim Khalil, Nathalie Strub Wourgaft, Fabiana Alves, Ahmed Musa",Miltefosine; Sodium stibogluconate; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,Kenya
Brazil (BRA),-19.924993,Bone,"204",https://www.ncbi.nlm.nih.gov/pubmed/28662038,28662038,NCT01310742,"Pediatric Hospital Joao Paulo II—FHEMIG, Belo Horizonte",378,2017,Meglumine antimoniate,"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-43.931761,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
Brazil (BRA),-19.924993,Bone,"204",https://www.ncbi.nlm.nih.gov/pubmed/28662038,28662038,NCT01310742,"Pediatric Hospital Joao Paulo II—FHEMIG, Belo Horizonte",378,2017,Amphotericin B deoxycholate,"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-43.931761,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
Brazil (BRA),-19.924993,Bone,"204",https://www.ncbi.nlm.nih.gov/pubmed/28662038,28662038,NCT01310742,"Pediatric Hospital Joao Paulo II—FHEMIG, Belo Horizonte",378,2017,Liposomal Amphotericin B (L-AmB),"Efficacy and safety of available treatments for visceral leishmaniasis in Brazil: A multicenter, randomized, open-label trial.",South America,-43.931761,Published,"Romero GAS, Costa DL, Costa CHN, de Almeida RP, de Melo EV, de Carvalho SFG, Rabello A, de Carvalho AL, Sousa AQ, Leite RD, Lima SS, Amaral TA, Alves FP, Rode J; Collaborative LVBrasil Group.",Meglumine antimoniate; Amphotericin B deoxycholate; Liposomal Amphotericin B,Comparative,0,Mixed,No,vl,
India (IND),25.599832,Spleen/bone,"224",https://www.ncbi.nlm.nih.gov/pubmed/29016288,29016288,-9,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",100,2017,Liposomal Amphotericin B (L-AmB),"Efficacy and Safety of Liposomal Amphotericin B for Visceral Leishmaniasis in Children and Adolescents at a Tertiary Care Center in Bihar, India",India Subcontinent,85.195326,Published,"Pandey K, Pal B, Siddiqui NA, Rabi Das VN, Murti K, Lal CS, Verma N, Babu R, Ali V, Kumar R, Das P",Liposomal Amphotericin B,Single Group,0,Parasitological,No,vl,
Italy (ITA),44.391586,Spleen/bone,"72",http://www.ncbi.nlm.nih.gov/pubmed/8153292,8153291,-9,G. Gaslini Children’s Hospital,31,1994,Liposomal Amphotericin B (L-AmB),Liposomal amphotericin B (AmBisome) in Mediterranean visceral leishmaniasis: a multi-centre trial.,Mediterranean,8.9861786,Published,"Davidson RN, Di Martino L, Gradoni L, Giacchino R, Russo R, Gaeta GB, Pempinello R, Scott S, Raimondi F, Cascio A, et al.",Liposomal Amphotericin B,Dose finding,0,Parasitological,Yes,vl,
India (IND),26.131728,Spleen/bone,"99",http://www.ncbi.nlm.nih.gov/pubmed/12955642,12955641,-9,"Darbhanga Medical College, Darbhanga, Bihar-846003, India",203,2003,Liposomal Amphotericin B (L-AmB),Single-dose liposomal amphotericin B in the treatment of visceral leishmaniasis in India: a multicenter study.,India Subcontinent,85.896955,Published,"Sundar S, Jha TK, Thakur CP, Mishra M, Singh VP, Buffels R.",Liposomal Amphotericin B,Single Group,1,Parasitological,No,vl,
Spain (ESP),40.475901,Spleen/bone/liver,"20",http://www.ncbi.nlm.nih.gov/pubmed/10397536,10397536,-9,"Servicio de Enfermedades Infecciosas, Centro Nacional de Investigación Clínica, Instituto de Salud Carlos III, Madrid, Spain",89,1999,Meglumine antimoniate,Treatment of visceral leishmaniasis in HIV-infected patients: a randomized trial comparing meglumine antimoniate with amphotericin B. Spanish HIV-Leishmania Study Group.,Mediterranean,-3.694681,Published,"Laguna F, López-Vélez  R, Pulido F, Salas A, Torre-Cisneros J, Torres E, Medrano FJ, Sanz J, Picó G,Gómez-Rodrigo J, Pasquau J, Alvar J.",Amphotericin B; Meglumine antimoniate,Comparative,0,Parasitological,Yes,vl,
Spain (ESP),40.475901,Spleen/bone/liver,"20",http://www.ncbi.nlm.nih.gov/pubmed/10397536,10397536,-9,"Servicio de Enfermedades Infecciosas, Centro Nacional de Investigación Clínica, Instituto de Salud Carlos III, Madrid, Spain",89,1999,Amphotericin B deoxycholate,Treatment of visceral leishmaniasis in HIV-infected patients: a randomized trial comparing meglumine antimoniate with amphotericin B. Spanish HIV-Leishmania Study Group.,Mediterranean,-3.694681,Published,"Laguna F, López-Vélez  R, Pulido F, Salas A, Torre-Cisneros J, Torres E, Medrano FJ, Sanz J, Picó G,Gómez-Rodrigo J, Pasquau J, Alvar J.",Amphotericin B; Meglumine antimoniate,Comparative,0,Parasitological,Yes,vl,
India (IND),28.6448,,"262",https://pubmed.ncbi.nlm.nih.gov/17642948/,17642948,,India - site unknown,10,2003,Ketoconazole,Therapeutic trial of sodium antimony gluconate alone and in combination with ketoconazole in post-kala-azar dermal leishmaniasis.,India Subcontinent,77.216721,Published,"S K Rathi, R K Pandhi, N Khanna, P Chopra ","",RCT,0,Mixed,Unspecified,pkdl,
India (IND),28.6448,,"262",https://pubmed.ncbi.nlm.nih.gov/17642948/,17642948,,India - site unknown,10,2003,Sodium stibogluconate,Therapeutic trial of sodium antimony gluconate alone and in combination with ketoconazole in post-kala-azar dermal leishmaniasis.,India Subcontinent,77.216721,Published,"S K Rathi, R K Pandhi, N Khanna, P Chopra ","",RCT,0,Mixed,Unspecified,pkdl,
India (IND),25.613897,Unspecified,"220",,,CTRI/2017/05/008656,"Balaji Uthan Sansthan, Patna, India",130,,Amphotericin B," A multicenter, open label, randomized, two treatment, parallel design, steady state study to compare the bioavailability of the Test product [Amphotericin B (Liposome for injection) 50 mg/vial, Cipla Ltd., India] with Reference product [AmBisomeÂ® (Amphotericin B) Liposome for injection 50 mg/vial), Gilead life sciences, USA] in adult patients with visceral leishmaniasis.",India Subcontinent,85.139591,Active,"CP Thakur, Rama Prasad Goswami,  Shyam Sundar, Krishna Pandey",Liposomal Amphotericin B,Comparative,0,Unspecified,Unspecified,vl,
India (IND),26.121473,,"258",https://pubmed.ncbi.nlm.nih.gov/25685839/,25685839,,"Kala-Azar Medical Research Center, Muzaffarpur, India",33,2015,Miltefosine,Efficacy and safety of miltefosine in treatment of post-kala-azar dermal leishmaniasis. ,India Subcontinent,85.368752,Published,"Shyam Sundar, Anup Singh, Jaya Chakravarty, Madhukar Rai","",Single-arm trial,0,Mixed,No,pkdl,
Kenya (KEN),1.497147,,"216",,,NCT03129648,"Kacheliba Hospital, Kacheliba, West Pokot, Kenya",576,,Miltefosine,Miltefosine/Paromomycin Phase III Trial for Treatment of Primary Visceral Leishmaniasis (VL) Patients in Eastern Africa,Eastern Africa,35.005334,Active,"Jane Mbui,  Joseph Olobo,  Ahmed M Musa, Rezika Mohammed",Miltefosine; Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,No,vl,"Ethiopia, Sudan, Uganda"
Kenya (KEN),1.497147,,"216",,,NCT03129648,"Kacheliba Hospital, Kacheliba, West Pokot, Kenya",576,,Sodium stibogluconate,Miltefosine/Paromomycin Phase III Trial for Treatment of Primary Visceral Leishmaniasis (VL) Patients in Eastern Africa,Eastern Africa,35.005334,Active,"Jane Mbui,  Joseph Olobo,  Ahmed M Musa, Rezika Mohammed",Miltefosine; Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,No,vl,"Ethiopia, Sudan, Uganda"
Kenya (KEN),1.497147,,"216",,,NCT03129648,"Kacheliba Hospital, Kacheliba, West Pokot, Kenya",576,,Paromomycin,Miltefosine/Paromomycin Phase III Trial for Treatment of Primary Visceral Leishmaniasis (VL) Patients in Eastern Africa,Eastern Africa,35.005334,Active,"Jane Mbui,  Joseph Olobo,  Ahmed M Musa, Rezika Mohammed",Miltefosine; Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,No,vl,"Ethiopia, Sudan, Uganda"
India (IND),25.620021,Unknown,"170",http://www.ncbi.nlm.nih.gov/pubmed/9654264,9654264,-9,Patna Medical College Hospital,75,1998,Amphotericin B,"Sodium antimony gluconate, amphotericin, and myocardial damage.",India Subcontinent,85.159811,Published,Thakur CP.,Amphotericin B,Single Group,0,Unspecified,Unspecified,vl,
Brazil (BRA),-16.730747,Bone/serological,"191",https://www.ncbi.nlm.nih.gov/pubmed/28327805,28327804,-9,"Hospital de Doenças Tropicais, Araguaína, Tocantins, Brazil",101,2017,Meglumine antimoniate,"Efficacy and safety of amphotericin B deoxycholate versus N-methylglucamine antimoniate in pediatric visceral leishmaniasis: an open-label, randomized, and controlled pilot trial in Brazil",South America,-49.23737,Published,"Myrlena Mescouto Borges, Maria Cristina da Silva Pranchevicius, Elza Ferreira Noronha, Gustavo Adolfo Sierra Romero, César Omar Carranza-Tamayo",Meglumine antimoniate; Amphotericin B deoxycholate,Comparative,1,Mixed,No,vl,
Brazil (BRA),-16.730747,Bone/serological,"191",https://www.ncbi.nlm.nih.gov/pubmed/28327805,28327804,-9,"Hospital de Doenças Tropicais, Araguaína, Tocantins, Brazil",101,2017,Amphotericin B deoxycholate,"Efficacy and safety of amphotericin B deoxycholate versus N-methylglucamine antimoniate in pediatric visceral leishmaniasis: an open-label, randomized, and controlled pilot trial in Brazil",South America,-49.23737,Published,"Myrlena Mescouto Borges, Maria Cristina da Silva Pranchevicius, Elza Ferreira Noronha, Gustavo Adolfo Sierra Romero, César Omar Carranza-Tamayo",Meglumine antimoniate; Amphotericin B deoxycholate,Comparative,1,Mixed,No,vl,
Iran (Islamic Republic of) (IRN),29.629926,Spleen/bone/serological,"138",http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/219/CN-00664219/frame.html,-1,-9,Shiraz University of Medical Sciences,75,1998,Meglumine antimoniate,Short course anti-leishmania therapy in children with visceral leishmaniasis .,Central Asia,52.521502,Published,"Karimi A, Alborzi I, Mahmodi MR, Rakhshani AH, Kadivar MR",Meglumine antimoniate,Dose finding,0,Mixed,Unspecified,vl,
Ethiopia (ETH),12.616184,,"214",,,NCT03129646,"University Hospital of Gondar, Gondar, Ethiopia",576,,Miltefosine,Miltefosine/Paromomycin Phase III Trial for Treatment of Primary Visceral Leishmaniasis (VL) Patients in Eastern Africa,Eastern Africa,37.454676,Active,"Jane Mbui,  Joseph Olobo,  Ahmed M Musa, Rezika Mohammed",Miltefosine; Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,No,vl,"Kenya, Sudan, Uganda"
Ethiopia (ETH),12.616184,,"214",,,NCT03129646,"University Hospital of Gondar, Gondar, Ethiopia",576,,Sodium stibogluconate,Miltefosine/Paromomycin Phase III Trial for Treatment of Primary Visceral Leishmaniasis (VL) Patients in Eastern Africa,Eastern Africa,37.454676,Active,"Jane Mbui,  Joseph Olobo,  Ahmed M Musa, Rezika Mohammed",Miltefosine; Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,No,vl,"Kenya, Sudan, Uganda"
Ethiopia (ETH),12.616184,,"214",,,NCT03129646,"University Hospital of Gondar, Gondar, Ethiopia",576,,Paromomycin,Miltefosine/Paromomycin Phase III Trial for Treatment of Primary Visceral Leishmaniasis (VL) Patients in Eastern Africa,Eastern Africa,37.454676,Active,"Jane Mbui,  Joseph Olobo,  Ahmed M Musa, Rezika Mohammed",Miltefosine; Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,No,vl,"Kenya, Sudan, Uganda"
Brazil (BRA),-13.00246,Spleen/bone,"53",http://www.ncbi.nlm.nih.gov/pubmed/11105144,11105143,-9,"Federal University of Bahia,Brazil",32,1997,Liposomal Amphotericin B (L-AmB),Efficacy and Tolerability of Liposomal Amphotericin B (Ambisome) in the Treatment of Visceral Leishmaniasis in Brazil.,South America,-38.511164,Published,"Freire M, Badaró F, Avelar ME, Luz K, Nakatani MS, Teixeira R, Martins Netto E, Badaró R.",Liposomal Amphotericin B,Dose finding,0,Parasitological,No,vl,
India (IND),25.613897,Spleen,"50",http://www.ncbi.nlm.nih.gov/pubmed/9797830,9797829,-9,"Balaji Uthan Sansthan, Patna, India",80,1998,Sodium stibogluconate,"Do the diminishing efficacy and increasing toxicity of sodium stibogluconate in the treatment of visceral leishmaniasis in Bihar, India, justify its continued use as a first-line drug? An observational study of 80 cases.",India Subcontinent,85.139591,Published,"Thakur CP, Sinha GP, Pandey AK, Kumar N, Kumar P, Hassan SM, Narain S, Roy RK.",Sodium stibogluconate,Single Group,1,Parasitological,No,vl,
India (IND),26.121473,,"257",https://pubmed.ncbi.nlm.nih.gov/23136856/,23136856,,"Kala-Azar Medical Research Center, Muzaffarpur, India; Rajendra Memorial Research Institute of Medical Sciences, Patna, India; Institute of Medical Sciences, Banaras Hindu University, Varanasi, India",36,2013,Miltefosine,Oral miltefosine for Indian post-kala-azar dermal leishmaniasis: a randomised trial. ,India Subcontinent,85.368752,Published,"Shyam Sundar, Prabat Sinha, T K Jha, Jaya Chakravarty, Madhukar Rai, Nawin Kumar, Krishna Pandey, M K Narain, N Verma, V N R Das, P Das, Jonathan Berman, Byron Arana ","",RCT,0,Mixed,No,pkdl,
India (IND),25.613897,Spleen,"31",http://www.ncbi.nlm.nih.gov/pubmed/16354803,16354802,-9,"Balaji Uthan Sansthan, Patna, India",120,2005,Sitamaquine,A phase II dose-ranging study of sitamaquine for the treatment of visceral leishmaniasis in India.,India Subcontinent,85.139591,Published,"Jha TK, Sundar S, Thakur CP, Felton JM, Sabin AJ, Horton J.",Sitamaquine,Dose finding,0,Parasitological,No,vl,
Sudan (SDN),13.845118,Bone,"79",http://www.ncbi.nlm.nih.gov/pubmed/21049065,21049065,NCT00255569,"Kassab Hospital, Ministry of Health, Gedaref State",42,2010,Paromomycin sulphate,"Paromomycin for the treatment of visceral leishmaniasis in Sudan: a randomized, open-label, dose-finding study.",Eastern Africa,35.422757,Published,"Musa AM, Younis B, Fadlalla A, Royce C, Balasegaram M, Wasunna M, Hailu A, Edwards T, Omollo R, Mudawi M, Kokwaro G, El-Hassan A, Khalil E.",Paromomycin,Dose finding,0,Parasitological,No,vl,
India (IND),26.118589,Spleen/bone,"60",http://www.ncbi.nlm.nih.gov/pubmed/11049799,11049798,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",320,2000,Sodium stibogluconate,Failure of pentavalent antimony in visceral leishmaniasis in India: report from the center of the Indian epidemic.,India Subcontinent,85.400719,Published,"Sundar S, More DK, Singh MK, Singh VP, Sharma S, Makharia A, Kumar PC, Murray HW.",Sodium stibogluconate,Single Group,1,Parasitological,Unspecified,vl,
Sudan (SDN),9.6655153,Spleen/lymph,"73",http://www.ncbi.nlm.nih.gov/pubmed/7578730,7578729,-9,"Western Upper Nile, Sudan",49,1995,Liposomal Amphotericin B (L-AmB),Liposomal amphotericin B (AmBisome) in the treatment of complicated kala-azar under field conditions.,Eastern Africa,28.873127,Published,"Seaman J, Boer C, Wilkinson R, de Jong J, de Wilde E, Sondorp E, Davidson R.",Liposomal Amphotericin B,Dose finding,0,Parasitological,Unspecified,vl,
India (IND),22.575014,Unspecified,"221",,,CTRI/2017/05/008656,"Calcutta School of Tropical Medicine, Calcutta",130,,Amphotericin B," A multicenter, open label, randomized, two treatment, parallel design, steady state study to compare the bioavailability of the Test product [Amphotericin B (Liposome for injection) 50 mg/vial, Cipla Ltd., India] with Reference product [AmBisomeÂ® (Amphotericin B) Liposome for injection 50 mg/vial), Gilead life sciences, USA] in adult patients with visceral leishmaniasis.",India Subcontinent,88.359621,Active,"CP Thakur, Rama Prasad Goswami,  Shyam Sundar, Krishna Pandey",Liposomal Amphotericin B,Comparative,0,Unspecified,Unspecified,vl,
India (IND),22.575014,Spleen/bone,"9",http://www.ncbi.nlm.nih.gov/pubmed/9282505,9282505,-9,"Calcutta School of Tropical Medicine, Calcutta",180,1997,Ketoconazole,Efficacy of sodium antimony gluconate and ketoconazole in the treatment of kala-azar--a comparative study.,India Subcontinent,88.359621,Published,"Wali JP, Aggarwal P, Nandy A, Singh S, Addy M, Guha SK, Dwivedi SN, Karmarkar MG, Maji AK.",Ketoconazole; Sodium stibogluconate,Comparative,1,Parasitological,Unspecified,vl,
India (IND),22.575014,Spleen/bone,"9",http://www.ncbi.nlm.nih.gov/pubmed/9282505,9282505,-9,"Calcutta School of Tropical Medicine, Calcutta",180,1997,Sodium stibogluconate,Efficacy of sodium antimony gluconate and ketoconazole in the treatment of kala-azar--a comparative study.,India Subcontinent,88.359621,Published,"Wali JP, Aggarwal P, Nandy A, Singh S, Addy M, Guha SK, Dwivedi SN, Karmarkar MG, Maji AK.",Ketoconazole; Sodium stibogluconate,Comparative,1,Parasitological,Unspecified,vl,
India (IND),25.599832,Spleen/bone,"5",http://www.ncbi.nlm.nih.gov/pubmed/21255828,21255828,NCT00696969,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",634,2011,Miltefosine,"Comparison of short-course multidrug treatment with standard therapy for visceral leishmaniasis in India: an open-label, non-inferiority, randomised controlled trial.",India Subcontinent,85.195326,Published,"Sundar S, Sinha PK, Rai M, Verma DK, Nawin K, Alam S, Chakravarty J, Vaillant M, Verma N, Pandey K, Kumari P, Lal CS, Arora R, Sharma B, Ellis S, Strub-Wourgaft N, Balasegaram M, Olliaro P, Das P, Modabber F.",Miltefosine; Amphotericin B deoxycholate; Paromomycin; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,
India (IND),25.599832,Spleen/bone,"5",http://www.ncbi.nlm.nih.gov/pubmed/21255828,21255828,NCT00696969,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",634,2011,Amphotericin B deoxycholate,"Comparison of short-course multidrug treatment with standard therapy for visceral leishmaniasis in India: an open-label, non-inferiority, randomised controlled trial.",India Subcontinent,85.195326,Published,"Sundar S, Sinha PK, Rai M, Verma DK, Nawin K, Alam S, Chakravarty J, Vaillant M, Verma N, Pandey K, Kumari P, Lal CS, Arora R, Sharma B, Ellis S, Strub-Wourgaft N, Balasegaram M, Olliaro P, Das P, Modabber F.",Miltefosine; Amphotericin B deoxycholate; Paromomycin; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,
India (IND),25.599832,Spleen/bone,"5",http://www.ncbi.nlm.nih.gov/pubmed/21255828,21255828,NCT00696969,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",634,2011,Liposomal Amphotericin B (L-AmB),"Comparison of short-course multidrug treatment with standard therapy for visceral leishmaniasis in India: an open-label, non-inferiority, randomised controlled trial.",India Subcontinent,85.195326,Published,"Sundar S, Sinha PK, Rai M, Verma DK, Nawin K, Alam S, Chakravarty J, Vaillant M, Verma N, Pandey K, Kumari P, Lal CS, Arora R, Sharma B, Ellis S, Strub-Wourgaft N, Balasegaram M, Olliaro P, Das P, Modabber F.",Miltefosine; Amphotericin B deoxycholate; Paromomycin; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,
India (IND),25.599832,Spleen/bone,"5",http://www.ncbi.nlm.nih.gov/pubmed/21255828,21255828,NCT00696969,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",634,2011,Paromomycin,"Comparison of short-course multidrug treatment with standard therapy for visceral leishmaniasis in India: an open-label, non-inferiority, randomised controlled trial.",India Subcontinent,85.195326,Published,"Sundar S, Sinha PK, Rai M, Verma DK, Nawin K, Alam S, Chakravarty J, Vaillant M, Verma N, Pandey K, Kumari P, Lal CS, Arora R, Sharma B, Ellis S, Strub-Wourgaft N, Balasegaram M, Olliaro P, Das P, Modabber F.",Miltefosine; Amphotericin B deoxycholate; Paromomycin; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,
Ethiopia (ETH),6.0284459,Spleen/bone/lymph,"62",http://www.ncbi.nlm.nih.gov/pubmed/21049060,21049060,NCT00255568,"Arba Minch Hospital, SNNPR State, Ethiopia",270,2010,Sodium stibogluconate,"Geographical variation in the response of visceral leishmaniasis to paromomycin in East Africa: a multicentre, open-label, randomized trial.",Eastern Africa,37.550195,Published,"Hailu A, Musa A, Wasunna M, Balasegaram M, Yifru S, Mengistu G, Hurissa Z, Hailu W, Weldegebreal T, Tesfaye S, Makonnen E, Khalil E, Ahmed O, Fadlalla A, El-Hassan A, Raheem M, Mueller M, Koummuki Y, Rashid J, Mbui J, Mucee G, Njoroge S, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Sudan, Kenya"
Ethiopia (ETH),6.0284459,Spleen/bone/lymph,"62",http://www.ncbi.nlm.nih.gov/pubmed/21049060,21049060,NCT00255568,"Arba Minch Hospital, SNNPR State, Ethiopia",270,2010,Paromomycin,"Geographical variation in the response of visceral leishmaniasis to paromomycin in East Africa: a multicentre, open-label, randomized trial.",Eastern Africa,37.550195,Published,"Hailu A, Musa A, Wasunna M, Balasegaram M, Yifru S, Mengistu G, Hurissa Z, Hailu W, Weldegebreal T, Tesfaye S, Makonnen E, Khalil E, Ahmed O, Fadlalla A, El-Hassan A, Raheem M, Mueller M, Koummuki Y, Rashid J, Mbui J, Mucee G, Njoroge S, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Sudan, Kenya"
India (IND),26.118589,Spleen/bone,"6",http://www.ncbi.nlm.nih.gov/pubmed/21255828,21255828,NCT00696969,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",634,2011,Miltefosine,"Comparison of short-course multidrug treatment with standard therapy for visceral leishmaniasis in India: an open-label, non-inferiority, randomised controlled trial.",India Subcontinent,85.400719,Published,"Sundar S, Sinha PK, Rai M, Verma DK, Nawin K, Alam S, Chakravarty J, Vaillant M, Verma N, Pandey K, Kumari P, Lal CS, Arora R, Sharma B, Ellis S, Strub-Wourgaft N, Balasegaram M, Olliaro P, Das P, Modabber F.",Miltefosine; Amphotericin B deoxycholate; Paromomycin; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,
India (IND),26.118589,Spleen/bone,"6",http://www.ncbi.nlm.nih.gov/pubmed/21255828,21255828,NCT00696969,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",634,2011,Amphotericin B deoxycholate,"Comparison of short-course multidrug treatment with standard therapy for visceral leishmaniasis in India: an open-label, non-inferiority, randomised controlled trial.",India Subcontinent,85.400719,Published,"Sundar S, Sinha PK, Rai M, Verma DK, Nawin K, Alam S, Chakravarty J, Vaillant M, Verma N, Pandey K, Kumari P, Lal CS, Arora R, Sharma B, Ellis S, Strub-Wourgaft N, Balasegaram M, Olliaro P, Das P, Modabber F.",Miltefosine; Amphotericin B deoxycholate; Paromomycin; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,
India (IND),26.118589,Spleen/bone,"6",http://www.ncbi.nlm.nih.gov/pubmed/21255828,21255828,NCT00696969,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",634,2011,Liposomal Amphotericin B (L-AmB),"Comparison of short-course multidrug treatment with standard therapy for visceral leishmaniasis in India: an open-label, non-inferiority, randomised controlled trial.",India Subcontinent,85.400719,Published,"Sundar S, Sinha PK, Rai M, Verma DK, Nawin K, Alam S, Chakravarty J, Vaillant M, Verma N, Pandey K, Kumari P, Lal CS, Arora R, Sharma B, Ellis S, Strub-Wourgaft N, Balasegaram M, Olliaro P, Das P, Modabber F.",Miltefosine; Amphotericin B deoxycholate; Paromomycin; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,
